locality_name,uuid,city_name
Mundhwa,be93c7fe0472608a1f63,Pune
Royappa Nagar,1c0289e9bc03c0edfcaf,Chennai
Karampura,b2f50c106e5b731be41c,Delhi
Madhavaram Milk Colony,d3039a9a2ff18ecdd958,Chennai
Nawada,f65a5fc8b195d3ef58d6,Delhi
Bendiganahalli,8d4cdf6adec05df2811e,Bengaluru
Shankanipura,bf60930d98f35ed6e0f7,Bengaluru
Padle Gaon,e132fcd7870f8379a5e1,Mumbai
Navarathna Agrahara,3936a7be83fe2a67ab84,Bengaluru
Zendewadi,7d4b4078055030f33f61,Pune
Pasumamula,8fc714e280b2bbf232c9,Hyderabad
Sembedu,34cc22bf405f6f2e0dad,Chennai
Khoraj,cb9e60ec3dd039eeb531,Ahmedabad
Paota,a010e74d04be9a9bc423,Bengaluru
Sector 49,ebd7f89deb5d95bd3ac2,Gurgaon
Bandra East,3a399fa12f350ae86435,Mumbai
Badlapur East,c9eb6e1c997764e1f6e4,Mumbai
Ramachandra Puram,c924686c531d8097367f,Hyderabad
Puth Khurd,b8fa4d8ecf4dfe84e9ba,Delhi
Sector 62,f4c6faf672b4a2b5f092,Noida
Sector 18,5d6c82bb6bfef234050a,Noida
Sector 1 Rohini,48d48692421679c1fd45,Delhi
Mullur,aed1f7d2dc6e651a6de0,Bengaluru
Meiyur,3d7d2d6d4dc16961908e,Chennai
Sector 91,e3f5afa57c678b772c0e,Gurgaon
New Sangvi,a17495daaed19cd9dc44,Pune
Bhat,b53e69a409eff4dcb053,Ahmedabad
Mettuguda,20b558d368204f99d4c5,Hyderabad
Tech Zone,6b2e4bfdc78691234c7d,Noida
Somwar Peth,d5d7ac778e5e62e1b112,Pune
Begumpur,9838118071f2ed6a95f0,Delhi
Thirutheri R.F.,ebdad1c9c3c3866afdfa,Chennai
Patel Garden,a21da34383b58882c89a,Delhi
Paye,5295fbb4b8e554adedd6,Mumbai
Khidkali,96ef2a369e54abe399d6,Mumbai
HMT Layout,4f4be0104c1cd3c92fb8,Bengaluru
Kanpoli,4f7a7e91e80610af32ab,Mumbai
Ravi Pahad,8bef1c277659498ed6c1,Hyderabad
Kumbalgodu,f4e1414ee91b03c48630,Bengaluru
Sector 107,5a4dd4bd47e70548d927,Noida
Vadhu Budruk,022aa00836089ad564cf,Pune
Pudumavilangai,315580589ec689d10b3f,Chennai
Dasna,b30c3015ebbc543aa47e,Ghaziabad
Sector 1,736f367d8f8a1531038c,Noida
Sector 22 Rohini,abb6f52e92ecbabfc991,Delhi
Chinna Thokatta,9e565354c06d48f52647,Hyderabad
Barisha,1cf0d3a33dc0027c4956,Kolkata
Surappattu,114ea948656def642660,Chennai
Bedarahalli,da8cc3663f8731a4c13a,Bengaluru
Gauribidanur,d726dd88434f36ceeb99,Bengaluru
Doddasagarahalli,5557afc8b2b8927a8e22,Bengaluru
Sector 7 Sohna,4e4fcba98499fcfe465b,Gurgaon
Jeedipally,f8d875ce8497985917ff,Hyderabad
Gollarapalya,0729b7aaf3be722a72bd,Bengaluru
Lekhamba,698bdc1edd78658efabe,Ahmedabad
Ediga Road,7ae10618f0ea5dbd5bbb,Pune
New Barrakpur,7ee5d0ebb58d6b39abbb,Kolkata
Dhanori,f7f13b55223bc7a0f885,Pune
Nagerbazar,ab79ea42f3ef6761ffb2,Kolkata
Undri,5835b7b253da59193a00,Pune
Upparpally,94faa5312486ce85cfd6,Hyderabad
Shivaji Nagar,4993eef509951a25861f,Bengaluru
Kollur,16cb17f9b8c27be079f8,Hyderabad
Kanjhawala Village,306ba67bf5073db4dd9c,Delhi
Sector 13 Dwarka,1667ea423cb59bbc243a,Delhi
Sri Nagar,6ac811b11bc682ee0d09,Pune
Malka Ganj,64f3030f0a353dd5e176,Delhi
Tunganagara,8682fe67228b6c4e297d,Bengaluru
Thiruneermalai,61e51754c552c4e5977c,Chennai
Sector 36,855c5d5713e40d33c886,Noida
Rafiganj,d15992dd000a7280679f,Kolkata
Subhasgram,8ecab8af3edd3f9ccd75,Kolkata
Meesaganahalli,8ebde63b8591605c4244,Bengaluru
Arasanakunte,7457dde16b2b3dee71a5,Bengaluru
Chinthal Basthi,e62e7129628e4965bf37,Hyderabad
Madurapakkam,7e5d331e4b7fbbd93d5f,Chennai
Jaldhara-3,0d13e985b708e0873915,Ahmedabad
Sherpur,3dc7923e7e6e18f554a0,Delhi
Motera,2f29f56ff3494e543bb3,Ahmedabad
Agarpara,8553b76206d936cbdc0b,Kolkata
Behrampura,fcd69550dcb43a50609c,Ahmedabad
Camp,e9481caa85e1b682981d,Pune
Hyderguda,3819a53cd88da5a0576a,Hyderabad
Adchini,92fb1f06977a9428bc33,Delhi
Bhadurpalle,268d38d9751ea22333da,Hyderabad
Chikkabidarakallu,7dc8a1c7b061775bc408,Bengaluru
Melmaruvathur,cb79ce72d4323392c903,Chennai
Nandambakkam,d11ab138a8092b6a21f7,Chennai
Basavanagar,617a21db1da9f5fa182c,Bengaluru
Geratpur,3c5a2bc3cad4927a6e35,Ahmedabad
Bhimtalav,fdfbd998ee381d65ea1a,Ahmedabad
Doddagattiganabbe,e0f4cb93c68b873cfe8a,Bengaluru
Duhai,4db7f899b77243ba0444,Ghaziabad
Kalyan Nagar,146b035f1d6193a8893c,Bengaluru
Jinnagara,65962e2bc3a58368af49,Bengaluru
Majestic,470ecf48a08877f3a441,Bengaluru
Ambedkar City,2b3c817b01b8900dd29f,Noida
Municipal Colony,af7692495f6281917204,Pune
Hatgachha,6d2bf8c3e6c3711cebc6,Kolkata
Usarghar,a26944cb7d006789da31,Mumbai
Seethariguda,bc7c507f1690bcce8b06,Hyderabad
Rajendra Park,69c9350168f0f9d40568,Gurgaon
Thirunindravur,3996bb41f1dd6d7f2c8c,Chennai
Kukatpally,98e0046150b35da6b54a,Hyderabad
Sector 108,f154398773021cbd297d,Gurgaon
Ramesh Nagar,320a9109bf01ef5f5daa,Delhi
Juhapura,499b0327b164a7f86607,Ahmedabad
Sector 108,f3a46a54410125d2c28b,Noida
Johripur,c1921227d1ced0d50b7a,Delhi
Dhankawadi,7e13c9b91640400bd97c,Pune
Sector 11,dd08825c9fe7d2e9b06e,Gurgaon
Narmada Vasahat,4fc4bf0941f64eb91bc6,Ahmedabad
Boral,887aed7e2b4001b1f513,Kolkata
Dodda Nekkundi,7d7c9799cda65a6e1b6d,Bengaluru
Qutab Enclave,d0b6f6861e003f7502cc,Delhi
Sector 29,4ae63435ea957f9a7891,Pune
Ravalkole,c58bcb52a2da1e757964,Hyderabad
"Sector 26A, Greater Noida",83d586a30f9ebab2db09,Noida
Dabaspete,b5cf92bdc20cd1011177,Bengaluru
Uttarbhag,33a3ac2e3d2e4b7cb441,Kolkata
Karunakaracheri,ef06c0abf7a7f8996991,Chennai
Nanekarwadi,2572caa3ab8c636df757,Pune
Shalimar,f042ab12fb3896954c6b,Kolkata
Kalwa,cf2ba974030b166d405e,Mumbai
Picnic Garden,ee2717f50ad314e708d6,Kolkata
Sevlimedu,7a2e10ef58c1c8f176da,Chennai
Tri Nagar,6642d05fcc86a539ed18,Delhi
Paud,90fad8dd41d1f10c3903,Pune
Kaggalipura,c4678c1fc2847c5655fc,Bengaluru
West Tambaram,8f5e63e11ef47c19ecfc,Chennai
Mappedu,0927e618583f4dd62a5d,Chennai
Noapara,951b1fcacdf20dfa166a,Kolkata
Kabardanga,e3633d6721e630ef282c,Kolkata
Anchemuskur,746aa4b70cda551cbf88,Bengaluru
Cholanayakanahalli,c9524bcc0a26f76be194,Bengaluru
Mayaganahalli,6c0f124f78af57d87f6e,Bengaluru
Kuntloor,deb23f0d67ba9a7eeff2,Hyderabad
Krishnanagar,01640e033a0a8143c069,Kolkata
Vardoli,a0fb4a02a0b33f80c8ae,Mumbai
Talbanda,9958d5b93844fa10511f,Kolkata
Bommalaramaram,e0da26950190e7a2cb79,Hyderabad
Sadiq Nagar,343515a295ead8a61a44,Delhi
Moghalpura,381b9416a74a96c85d2a,Hyderabad
Baithakkhana,23f5dd2ab5393cb3fb9a,Kolkata
Jagadgiri Gutta,cffcc4f63376ef9f447c,Hyderabad
Padarayana Pura,0a472048374d717440a3,Bengaluru
Sardar Colony,914fad9c6b9a793a8530,Ahmedabad
Dongare,0d659e7ff7708e93c97d,Mumbai
Sakhroli,e8aba906f578dac94474,Mumbai
Chak Kanthalia,c0d239300719b6093667,Kolkata
Shivaji Place,a5170b96006c3560db62,Delhi
Rajakrishnapura,5f37458fabf4693db621,Bengaluru
Jubilee Hills,b667ac56b48ba4f057bd,Hyderabad
Lado Sarai,850bdcb13eb86e59a01b,Delhi
Patel Nagar,25a98721e5c380c28cf8,Delhi
Dabri,5f8caf6ee4722e7873d5,Delhi
Veppampattu,97a8fec9f7950e4016f6,Chennai
Tharapakkam,711148f9f299268c69e3,Chennai
Kovur,d4ab01973530e03c9b73,Chennai
Kothanur,1f7e7d6f203a8d99ec50,Bengaluru
K Channasandra,47f70df2fef77c4ea145,Bengaluru
Vyasarpadi,e0da5f5aeb2d5fe657e0,Chennai
Nangainallur,511c2de991e2d5d42cac,Chennai
Bhivpuri,a32eeebdbe9041980be8,Mumbai
Bulandshahr Road Industrial Area,f4df3763be9567e7bb8a,Ghaziabad
Babarpur,155410656365bff837c8,Delhi
Gangondanahalli,581888ea2ee59647562f,Bengaluru
Doddabele,94899fdddcdf4c4551e2,Bengaluru
Moti Bagh,f62b12d0534c907061c1,Delhi
Devara Jeevanahalli,3c7c402f08da0d1ba8e4,Bengaluru
Gokhalenagar,4566411a4537d695bc37,Pune
